kind,title,leaders,start,finish,location,lat,lon,description
training,Small Alpine - Chiquito Pass,Mandish,2014-07-11,2014-07-13,Sierra National Forest,,,"The focus of the training will be designed to establish and /or elevate skills with weather evaluation, small team leadership roles, route-finding/navigation, SAR considerations in the alpine environment such as search tactics, communications challenges, medical considerations and helicopter awareness.


"
training,Drivers Training: Practical,SMSO,2014-07-12,"",400 County Center Parking Lot,,,Practical portion of driver's training takes place from 0900-1600.
meeting,General Meeting,TBA,2014-07-21,2014-07-21,Redwood City County Room 101,37.4888,-122.2305,""
training,Low Angle Instructors Skills Night,TBA,2014-07-23,2014-07-23,"44 Shakespeare, Daly City",,,Low Angle skills review for instructors prior to LA training.
training,Low Angle Rescue,Biancardi,2014-07-26,"",TBA,,,We will focus on low-angle rescue systems.  Personal Rock Skills is required to attend this training.
training,Search Practice,Chromik,2014-07-27,"","Wunderlich Park, Woodside",,,"Briefing at 0900, Wunderlich Park, Woodside CA"
meeting,Qrtly Leadership Mtg,Chang,2014-07-30,2014-07-30,TBA,,,""
training,Pizza and Skills night,Chromik,2014-08-13,2014-08-13,Daly City (Grishaver's house),,,Come teach/practice/demonstrate your skills! 
operation,Big Sur Pine Ridge Trail MA,Kantarjiev (OL),2014-08-17,"",Monterey Sheriff's Facility ,,,"2014-Law-4996

Monterey County is requesting 20 ground personnel to assist in the search for Arvin Nelson, a 50 year old black male missing from the Big Sur area on Monterey County.  Nelson left hiking from China Camp on Aug 6th and planned hiking a 24 mile route to Big Sur, arriving not later than Aug 14th.  He is an accomplished backwoodsman and is in good physical condition.  The request is for at least four Type I personnel to search a steep ravine and an additional 16 Type II to search the anticipated path, the Pine Ridge Trail.  
 
Requested report location place is the Monterey Sheriff's Facility at 1200 Agua Jito in Monterey on 8/17/14 at 0800.   
 
"
meeting,General Meeting,TBA,2014-08-18,2014-08-18,Castro Valley Nike Classroom,37.7207,-122.0962,""
training,Technical Rope Skills Night,Kantarjiev,2014-08-20,2014-08-20,Palo Alto,,,"Enjoy pizza, refresh your skills or learn some new ones before the Technical Skills weekend. We can set up a complete two-line system, practice some anchors, work on that pesky radium release hitch, and remind ourselves of what a proper belay looks like."
training,Basic Technical Rescue,Lohr,2014-08-23,2014-08-24,Fort Funston and Devil's Slide,,,"Basic Technical Rescue is two full days, covering the basics of our standard two-line high-angle rescue system. Participants must have completed the Basic Rock Skills training. "
training,Skills Night: Technical Rescue Practice,Blake Gleason,2014-09-01,2014-09-01,Albany,,,"Description: One week after our Basic Technical Rescue training, we will review, refine, practice and build muscle memory for the skills and techniques required for basic two-line technical rescue systems. We will build and operate realistic systems with realistic loads, all in the comfort of a backyard setting. Signoffs will be available for demonstrated skills. "
community,SAREX,TBA,2014-09-05,2014-09-07,Napa County,,,"SAREX is the annual Northern California Search and Rescue Exercise sponsored by California Governor's Office of Emergency Services  (Cal-OES) and one or more host agencies. The event takes place the weekend after Labor Day, and rotates annually throughout Northern California county venues. Feel free to get in touch with Farrand if you have any questions. "
training,Guiding line practice,Allen,2014-09-09,2014-09-09,Albany,,,""
training,Small Alpine- Mt. Langley,Chromik,2014-09-11,2014-09-14,TBA,,,A small alpine trip summiting Mt. Langley. Practice travel at altitude and off-trail navigation. 
training,Pizza and Skills Night,Dedecko,2014-09-11,2014-09-11,"38 Fair Ave. San Francisco, CA",,,Come teach/practice/demonstrate your skills! 
meeting,General Meeting,TBA,2014-09-15,2014-09-15,Redwood City Jury Assembly Room,37.4888,-122.2305,""
training,CPR/ AED/ First Aid Recert,David Ellison,2014-09-17,2014-09-17,"Room 101, 455 County Center",,,"Challenge course to recert your Red Cross CPR certification, offered for free by the SMC SO.  If you have your own face shield, bring it, and also review the current professional CPR standards beforehand."
training,Advanced Technical Rescue,Kantarjiev,2014-09-19,2014-09-21,Yosemite,,,"Three day course covers advanced topics in building and operating technical rescue systems. Rescue systems with greater exposure, double fall line considerations, steep angle with multiple attendants, and guiding lines. Attendance limited by available camping space and requires the leader's agreement; priority will be given to active members with all of the (FM) Technical Rescue signoffs."
operation,YOSAR Search,Chang,2014-09-21,"",Yosemite,,,"At appx. 930 Sunday, September 21, 2014 BAMRU was requested to join YOSAR in a search of a missing hiker in Yosemite.  At the time BAMRU was training for Adv. Tech Skills in Yosemite."
training,MLPI Interviewing Techniques,Chris Young,2014-09-27,"",Marin County,,,"Interviewing is an important part of search investigation and yet is often a hastily done and incomplete task. In many searches especially in an urban environment, an interview may be the largest generator of clues on where to search. This presentation/workshop will discuss why we need to interview and compare and contrast interview and interrogation in law enforcement and the unique requirements and needs in the Search and Rescue world. It will probe the ""how to"" mechanics of conducting a good interview from the setting for the interview, to the demeanor of the interviewer, to the type of in depth questions and how the information gathered can be used to paint a mental picture and profile of the missing subject. This information can then be used to assist the planning function in establishing where to look and the best use of SAR resources. The discussions will include initial and post search interviewing, as well as telephone and door-to-door interviewing. The workshop will also include interview practice exercises."
training,Search Practice,Allen,2014-10-04,"",El Corte de Madera Open Space,,,"A mock search, somewhere."
community,IKAR/MRA Conference,MRA,2014-10-05,2014-10-10,"Lake Tahoe, CA",,,"http://mra.org/training/ikar

This will be the first time the IKAR conference has been held in the United States."
training,Operations Leader Training,Chang,2014-10-05,2014-10-05,"Room 101, Redwood City",,,Training for prospective and continuing Operations Leaders. Attendance only with Leader's approval.
training,Small Alpine - Desolation,Jacobs,2014-10-10,2014-10-12,Desolation Wilderness,,,"A traverse of Desolation's Crystal Range, with a focus on improving how we hold up physically and mentally to all-night searches in type 1 terrain."
training,Alcatraz High Angle Ivy Removal,Gleason,2014-10-12,"",Alcatraz,,,"Rope practice on Alcatraz Island to assist with overgrown ivy removal in high-angle locations. This will be an all-day event, in which we take the ferry from SF, get briefed by the gardeners, establish necessary rope systems, and spend time hanging out in harnesses with gardening implements."
meeting,General Meeting,Chang,2014-10-20,2014-10-20,Castro Valley Nike Classroom,37.7207,-122.0962,""
training,Medical Skills,Lass,2014-10-25,2014-10-26,Huddart Park,,,"Medical Skills Training is all about putting our skills and knowledge to use. BAMRU has an exciting medical skills training planned this year. Some highlights include guest lecture by Stanford's Wilderness Medicine Fellow, Skill labs with lots of hands on practice, and the second annual BAMRU Medical Olympics where groups compete at a diverse set of wilderness scenarios. The training will be held at Huddart Park in Woodside, CA Participation is open to BAMRU members, trainees & guests with prior permission from leader. <b>Guests must be sworn.</b>"
community,Explorers Academy,Seffens,2014-10-25,2014-10-25,Huddart Park,,,Helping out with off-trail rescue training at the explorers academy.
meeting,Qrtly Leadership Meeting,Chang,2014-10-29,2014-10-29,Albany,,,""
training,SARTopo Training,Jacobs,2014-11-02,2014-11-02,San Francisco,,,"An all-day training on SARTopo that is open to members of the Bay Area SAR community.  Among other topics, we'll cover map layers, terrain visualization, plotting bearings, creating and printing assignments, GPS integration and track management.  The training will conclude with a remote planning exercise where we break into small teams and draft plans for a simulated search."
training,DO training skills night,Grishaver,2014-11-05,2014-11-05,44 Shakespeare St Daly City CA,,,"We'll cover the theory of DO-ing (what needs to be done during any DO shift, DO-ing during a training, what needs to be done in the ramp up for a search, etc), and the practice of DO-ing (how do we accomplish all of these things with the tools we have, like bamru.net).  For new and experienced DO's alike!"
training,Technical Rescue Evolutions,Gleason,2014-11-09,"",Berkeley - Cragmont,,,"This training will be a scenario-based technical rescue practice.  Participants will design, build, and operate technical rescue systems in ""real time"" on real rock, with multiple evolutions.  One of the objectives is to start practicing for the MRA re-accreditation in Technical Rock."
meeting,General Meeting,Chang,2014-11-17,2014-11-17,Redwood City Jury Assembly Room,37.4888,-122.2305,""
training,Skills weekend,Zirinsky,2014-11-22,2014-11-23,"Cragmont Park, Berkeley",,,"Skills day and Trainee packet sign offs. An important opportunity for Field and Technical team members to assist Trainees in packet sign offs. Trainees will have an opportunity to demonstrate skills through scenarios, skill stations and miscellaneous needed skill sign offs, as they work toward completing their training packets. "
training,Drivers Training: Classroom,SMSO,2014-12-04,2014-12-04,455 County Center,,,Classroom portion of drivers' training takes place from 1900-2100.  Sign up for practical sessions at the classroom portion.
training,Technical rescue evolutions,Kantarjiev,2014-12-06,2014-12-07,Pinnacles NP,,,"Technical rescue evolutions trainings. We'll build and run systems all day, focusing more on ""real time"" and ""efficiency"" than individual skills. Plan to arrive Friday night, run systems Saturday, and either head home Saturday night or stay the night and explore winter climbing at Pinnacles on Sunday (campground is reserved for two nights)."
training,SO Driver's Practical,TBA,2014-12-06,"",Redwood City Jury Parking Lot,,,"Practical portion of the training to drive SO vehicles.  Upon completing the practical and classroom portions and passing the background check, members may drive SO vehicles, and must renew every 2 years."
meeting,Snow Camping Pre-Trip Meeting,Kurt Gross,2014-12-10,2014-12-10,"290 Sussex Street, San Francisco",,,"A pre-trip meeting to set expectations and goals, arrange carpools and logistics, and best prepare for an effective and safe training. Meeting begins at 1900.
"
community,Holiday Party,Farrand/Yaffe,2014-12-13,2014-12-13,"455 W Evelyn Ave, Mountain View, CA 94041",37.3926,-122.0745,"Come to this entrance 

https://www.google.com/maps/dir//37.392594,-122.0744676/@37.392578,-122.0744508,51m/data=%213m1%211e3

of the building and call me (Ben) from the call-box.  If in trouble, call me (Ben) @ 917-699-0320"
community,BAMRU Dues Renewal,Treasurer,2014-12-15,"",TBA,,,""
training,Intro to Snow Camping,Gross,2014-12-20,2014-12-21,Carson Pass,38.6873,-119.9862,"Tentative pending the availability of snow. If you've never snow camped, or really want to learn how to use chopsticks to anchor your tent, this weekend is for you."
meeting,General Meeting  (not 3rd Monday),Chang,2015-01-12,2015-01-12,Redwood City,37.4888,-122.2305,""
meeting,Qrtly Leadership Mtg,Chang,2015-01-21,2015-01-21,"44 Shakespeare St, Daly City, CA",,,""
training,Snow Skills,Allen,2015-01-24,2015-01-25,donner pass and Andesite ridge,39.3163,-120.3338,"Practice winter camping, snow travel, beacon and probe searches and self arrest techniques. These skills are important for our winter & alpine operations."
training,Recert Skills Night,Dedecko,2015-01-28,2015-01-28,Chris K's House,,,""
training,Bay Area Joint MRA training,CoCo SAR,2015-02-07,"","Mt. Diablo, Boy Scout Rocks",,,"TRAINING CANCELLED due to weather concerns.

Technical rescue scenarios training in preparation for the MRA recertification.  This training will be held joint with Marin SAR, Contra Costa SAR, and Monterey SAR."
training,MRA Recert Training,Garcia,2015-02-07,"","Cragmont Park, Berkeley",,,Scenarios training for the MRA recert.
training,Guest Mock Search,White,2015-02-08,"",Redwood Memorial Park,,,"Our first recruiting event of the year, designed to show guests what it's like to respond to a callout and execute a search. Training open to guests, pending Leader approval. "
meeting,General Meeting (Not 3rd Monday),Chang,2015-02-09,2015-02-09,Castro Valley,37.7207,-122.0962,""
training,BASARC MLPI (weekend 1),TBA,2015-02-14,2015-02-15,TBA,,,Advanced training in search management run by the Bay Area Search and Rescue Council (BASARC).  Each member team can nominate between one and two people to attend the training.  Every nominee must have been active with a SAR team for at least three years.  Attendance at both weekends is required.
training,Recert Skills Night,Gleason,2015-02-18,2015-02-18,Albany,,,""
training,BASARC MLPI (weekend 2),TBA,2015-02-21,2015-02-22,TBA,,,Advanced training in search management run by the Bay Area Search and Rescue Council (BASARC).  Each member team can nominate between one and two people to attend the training.  Every nominee must have been active with a SAR team for at least three years.  Attendance at both weekends is required.
training,CRMRA Recert Prep Training ,Dedecko,2015-02-21,2015-02-22,Yosemite National Park,,,Scenarios in preparation for the technical rock rescue MRA recert.
training,SO Driver's Training Practical Component,Chromik,2015-02-28,"",Redwood City,,,A chance to complete the practical component of the driver's training required by the SO. You also need to take the classroom portion (not part of this training). 
training,Tech Rescue Re-Accreditation,TBA,2015-03-07,"",Joshua Tree NP,,,California MRA Re-Accreditation
meeting,General Meeting,Chang,2015-03-16,2015-03-16,Redwood City County Room 101,37.4889,-122.2305,""
training,Marin SAR Training,Marin SAR,2015-03-28,"",Marin,,,""
training,Glacier / Crevasse Rescue,Jacobs,2015-03-28,2015-03-29,TBA,,,TRAINING CANCELLED due to lack of snow.  Next year!
meeting,General Meeting (not 3rd Monday),Chang,2015-04-13,2015-04-13, Castro Valley,37.7207,-122.0962,""
training,SAR Basic *,Chromik,2015-04-18,2015-04-19,TBA,,,"Intensive weekend training to orient prospective members on the basic skills required to operate effectively in search and rescue operations. Intended for people with no prior SAR experience.

Attendance at SAR Basic is one of the requirements for application to become a Trainee member. Training open to guests, pending Leader approval. "
community,Trainee Applications Due,TBA,2015-04-27,"",TBA,,,Due date for all new applications to join BAMRU.
training,Shasta Ski Mountaineering Training,Jacobs,2015-05-01,2015-05-03,Mt Shasta,,,Ski mountaineering training and ascent of Shasta's Hotlum-Wintun route.
meeting,Qrtly Leadership Mtg,Chang,2015-05-06,2015-05-06,"474 44th St, Oakland CA 94609",,,""
meeting,Trainee Interviews -- Day 1,BoD,2015-05-09,2015-05-09,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
meeting,Trainee Interviews -- Day 2,BoD,2015-05-10,2015-05-10,Redwood City,,,Prospective Trainees will be interviewed by the Board this weekend.
community,Trainee Class Announced,TBA,2015-05-15,"",TBA,,,""
meeting,General Meeting,Chang,2015-05-18,2015-05-18,Redwood City County Room 101,37.4889,-122.2305,""
training,Navigation Skills *,Tompos,2015-05-31,"",Lake Chabot Regional Park,,,"Navigation training and signoffs, concentrating on map/compass, gps/caltopo usage. Focusing on becoming an effective nav lead during operations. Prerequisite: Ability to read topo maps and relate terrain features to topo maps. Training open to guests, pending Leader approval. "
training,Skills Night: Purcell Prusiks,Grishaver,2015-06-10,2015-06-10,"44 Shakespeare St, Daly City, CA 94014",37.7076,-122.4613,"Short version:
Learn and practice Purcell setup and usage prior to the Personal Rock Skills training weekend.

The details:
Purcell prusiks are awesome: incredibly valuable as part of your personal alpine skills repertoire and used constantly in technical rescue. They're also a bit tricky to set up and require some practice to use effectively. Come to this skills night in the wild alpine hinterlands of Daly City!"
meeting,General Meeting,Chang,2015-06-15,2015-06-15,Castro Valley Nike Classroom,37.7207,-122.0962,""
training,Personal Rock Skills *,Phelan,2015-06-20,2015-06-21,Indian Springs Campground ,,,"This two day course covers general rock skills skill stations, scenarios, and discussion of their application within the SAR community. Topics include anchors (trad gear and natural protection), belaying, rappelling, basic self-rescue, jugging/ascending, and personal emergency evac equipment with scenarios. Focus will be on both theory and practice. Personal rock skills is a prerequisite for Basic Technical Training."
community,Western States 100,TBA,2015-06-27,2015-06-28,"Auburn, CA",,,BAMRU provides medical staff for the WS-100 (100 mile trans Sierra Ultra Marathon).
training,Small Alpine - Chiquito Pass,Mandish,2015-07-10,2015-07-12,Sierra National Forest,,,"The focus of the training will be designed to establish and /or elevate skills with weather evaluation, small team leadership roles, route-finding/navigation, SAR considerations in the alpine environment such as search tactics, communications challenges, medical considerations and helicopter awareness.


"
operation,Shasta 2015-LAW-13920,Kantarjiev,2015-07-11,2015-07-12,"2486 Progress, Redding, CA",,,"Mission: 2015-LAW-13920. 
From: Dennis Smithson at CALOES, dennis.smithson@caloes.ca.gov .

Shasta County is reopening mission 2015-LAW-13920, a search for a missing six month old infant missing under suspicious circumstances. Shasta has been working on this for some time and has already conducted several searches. They have developed new leads and have additional areas to search. They are requesting a significant response for searches on Saturday and Sunday. They have requested 80-100 searchers for each day. The reporting time is 0700 for each day. ICP is located at 2486 Progress in Redding. Shasta County is providing lodging for Friday and Saturday night. Weather is expected to be good. Area to be searched is not technical and your Type 3/4 personnel would be fine. Request is for ground pounder personnel. Agency contact is Lt Tom Campbell at 530-410-2246 but please make sure you advise me if you are able to provide personnel. "
training,Drivers Training: Classroom,SMSO,2015-07-15,2015-07-15,455 County Center,,,Classroom portion of drivers' training takes place from 1930-2100.  Sign up for practical sessions at the classroom portion.
training,Drivers Training: Practical,SMSO,2015-07-18,"",400 County Center Parking Lot,,,Practical portion of driver's training takes place from 0900-1600.
meeting,General Meeting,Chang,2015-07-20,2015-07-20,Redwood City County Room 101,37.4888,-122.2305,""
training,Lost Person Behavior Skills Night,Jacobs,2015-07-22,2015-07-22,East Bay Cache,,,Review of recent lost person behavior research.
training,Low Angle Rescue *,Kantarjiev,2015-07-25,"",El Corte de Madera OSP,,,We will focus on single line rescue systems as an introduction to the larger world of technical rescue.  Personal Rock Skills is required to attend this training.
training,Search Practice/Helicopter Safety,Ghio,2015-07-26,"",Lake Chabot Regional Park,,,Practice Search/Helicopter Training. Location Lake Chabot Regional Park
meeting,Qrtly Leadership Mtg,Chang,2015-07-29,2015-07-29,TBA,,,""
training,DO Skills Night *,Grishaver,2015-08-04,2015-08-04,"IDEO, 150 Forest Ave, Palo Alto, CA 9430",37.4422,-122.1608,"We'll cover the theory of DO-ing (what needs to be done during any DO shift, DO-ing during a training, what needs to be done in the ramp up for a search, etc), and the practice of DO-ing (how do we accomplish all of these things with the tools we have, like bamru.net). For new and experienced DO's alike!"
training,CANCELLED: Small Alpine: Billy's Peak,Chromik,2015-08-07,2015-08-09,"Billy's Peak, Trinity County",,,Familiarize with off-trail travel over type 1 search terrain and with executing search assignments in that terrain.
training,Low Angle Skills Night,Schubert,2015-08-11,2015-08-11,Palo Alto,,,Review and practice skills from Low Angle training.
training,Starr King Small Alpine,Malkowski,2015-08-14,2015-08-16,Yosemite,,,Small alpine trip to summit Mt. Starr King in Yosemite via the southeast saddle.
training,Small Alpine Three Sister's Peak,White,2015-08-14,2015-08-16,Trapper Springs Campground,37.106,-118.987,"Small Alpine training to Three Sister's Peak in High Sierra, Dinkey Lakes Wilderness from Courtright Reservoir. Camping in Trapper Springs Campground Friday night. 9 miles [8 miles off trail] in. Camping at Cliff Lake. 5 miles out. Elevation 8500 ft to 10500 ft. 2nd/3rd class terrain near summit."
meeting,General Meeting,Chang,2015-08-17,2015-08-17,Castro Valley Nike Classroom,37.7207,-122.0962,""
meeting,Qrtly Leadership Mtg (backup date),Chang,2015-08-19,2015-08-19,TBA,,,""
training,Basic Technical Rescue *,Parker,2015-08-22,2015-08-23,Long Ridge,37.289,-122.1655,"Basic Technical Rescue is two full days, covering the basics of our standard two-line high-angle rescue system. Participants must have completed Personal Rock Skills and Low Angle."
training,Tech Rescue Skills Night,Allen,2015-09-09,2015-09-09,Albany,,,"Skills night to practice tech rescue skills, and come up with questions and tests for the experts.  Allen is heading to RfR in Sept, and will attempt to get responses during that time."
community,SAREX,Amador County,2015-09-11,2015-09-13,Silver Lake,,,http://www.sarex.org
training,Search Management / OP 0,Hoagland,2015-09-19,2015-09-20,TBA,,,"We will spend two days planning and executing the first operational period of a search operation, in slow motion, in rugged terrain. Limited attendance: Basic Technical Rescue is required, preference will be given to Field Members."
meeting,General Meeting,Chang,2015-09-21,2015-09-21,Redwood City Jury Assembly Room,37.4888,-122.2305,""
training,Small Alpine: Tenaya Canyon Ascent,Zirinsky,2015-09-25,2015-09-27,"Tenaya Canyon, Yosemite",,,Small alpine training through Yosemite's Tenaya Canyon in the Muir-style upward direction.
training,Tech Rescue Skills Night,Allen,2015-09-30,2015-09-30,Albany,,,"Follow up skills night after RfR, hopefully including responses to some of our questions, along with techniques and ideas from Ouray."
community,Early Elections Close,TBA,2015-10-02,"",TBA,,,""
training,Search Practice,Ahntholz,2015-10-03,"",TBA,,,"A mock search, somewhere. Training open to guests, pending Leader approval. "
training,Operations Leader Training,Grishaver/ Chang,2015-10-04,2015-10-04,TBA,,,Training for prospective and continuing Operations Leaders. Attendance only with Leader's approval.
training,Dog Flanking Training,Chromik,2015-10-17,"",TBA,,,A chance to learn and practice skills to be a good dog flanker.
meeting,General Meeting,Chang,2015-10-19,2015-10-19,Castro Valley Nike Classroom,37.7207,-122.0962,""
training,Medical Skills *,Fitzgerald,2015-10-24,2015-10-25,TBA,,,"Medical Skills Training is all about putting our skills and knowledge to use. BAMRU has an exciting medical skills training planned this year. Some highlights include guest lecture by Stanford's Wilderness Medicine Fellow, Skill labs with lots of hands on practice, and the BAMRU Medical Olympics where groups compete at a diverse set of wilderness scenarios. Training open to guests, pending Leader approval. "
community,Elections Close,TBA,2015-11-13,"",TBA,,,""
meeting,General Meeting,Chang,2015-11-16,2015-11-16,Redwood City Jury Assembly Room,37.4888,-122.2305,""
training,Adv. Search / Tracking / Low Angle *,Chromik/ Hoagland,2015-11-21,"",TBA,,,"This training will cover a combination of topics, including field search strategies, tracking practice, and low angle scenarios."
training,Practice Search *,TBA,2015-11-22,"",TBA,,,"A practice search, somewhere. Training open to guests, pending Leader approval. "
community,Holiday Party,TBA,2015-12-05,"",TBA,,,""
meeting,General Meeting (not 3rd Monday),Chang,2015-12-14,2015-12-14,Castro Valley,37.7207,-122.0962,""
community,BAMRU Dues Renewal,Treasurer,2015-12-15,"",TBA,,,""
training,Skills Weekend / Make-up Training *,TBA,2015-12-19,2015-12-20,TBA,,,"If we miss a training during the year, we will use this weekend to make it up.

Otherwise, it will be for skills and Trainee packet sign offs. An important opportunity for Field and Technical team members to assist Trainees in packet sign offs. Trainees will have an opportunity to demonstrate skills through scenarios, skill stations and miscellaneous needed skill sign offs, as they work toward completing their training packets. "
meeting,General Meeting  (not 3rd Monday),TBA,2016-01-11,2016-01-11,RWC Jury Assembly,37.4888,-122.2305,""
meeting,Qrtly Leadership Mtg,TBA,2016-01-20,2016-01-20,TBA,,,""
training,Snow Skills *,TBA,2016-01-23,2016-01-24,TBA,,,"Practice winter camping, snow travel, beacon and probe searches and self arrest techniques. These skills are important for our winter/alpine operations. Training open to guests, pending Leader approval."
training,Guest Mock Search,TBA,2016-02-07,"",Redwood Memorial Park,,,"Our first recruiting event of the year, designed to show guests what it's like to respond to a callout and execute a search.  Training open to Guests."
meeting,General Meeting (Not 3rd Monday),TBA,2016-02-08,2016-02-08,Castro Valley,37.7207,-122.0962,""
training,Snow and Ice Re-Accreditation,TBA,2016-03-05,"",TBA,,,California MRA Re-Accreditation
meeting,General Meeting,TBA,2016-03-21,2016-03-21,Redwood City County Room 101,37.4889,-122.2305,""
